baseline,horizon_h,variable,mae,se,err
mos,1,precipitation,0.0,0.0,0.0
mos,6,temperature_2m,0.5307294180293542,0.281673715161777,0.5307294180293542
mos,6,relative_humidity_2m,5.852453359994385,34.251210330909565,5.852453359994385
mos,6,cloud_cover,0.0,0.0,0.0
mos,6,wind_speed_100m,0.593561187405963,0.3523148831947767,0.593561187405963
mos,6,wind_speed_10m,0.24103375433767804,0.05809727073011613,-0.24103375433767804
mos,6,surface_pressure,0.8293890050712207,0.6878861217330293,0.8293890050712207
mos,6,precipitation,0.0,0.0,0.0
mos,12,shortwave_radiation,52.5089421680683,2757.1890076095415,52.5089421680683
mos,12,direct_normal_irradiance,2.2081432316578287,4.875896531516279,2.2081432316578287
mos,12,diffuse_radiation,5.989470023038052,35.87375115687144,5.989470023038052
mos,12,temperature_2m,0.718697174881294,0.5165256291823533,0.718697174881294
mos,12,relative_humidity_2m,4.138723013228216,17.12902818022484,-4.138723013228216
mos,12,cloud_cover,0.0,0.0,0.0
mos,12,wind_speed_100m,3.840214670726509,14.74724871726311,3.840214670726509
mos,12,wind_speed_10m,3.1887856142883475,10.168353693892314,3.1887856142883475
mos,12,surface_pressure,0.9882837447062229,0.9767047600505548,0.9882837447062229
mos,12,precipitation,0.0,0.0,0.0
mos,24,temperature_2m,0.2911140756236321,0.0847474050262018,0.2911140756236321
mos,24,relative_humidity_2m,2.8485472424744245,8.114221392608648,2.8485472424744245
mos,24,cloud_cover,0.0,0.0,0.0
mos,24,wind_speed_100m,0.2698290910279135,0.07280773836495004,0.2698290910279135
mos,24,wind_speed_10m,0.8140828379313677,0.6627308670143895,-0.8140828379313677
mos,24,surface_pressure,0.7549654852469985,0.5699728839142358,0.7549654852469985
mos,24,precipitation,0.0,0.0,0.0
mos,48,temperature_2m,1.3014375858004374,1.693739789734071,1.3014375858004374
mos,48,relative_humidity_2m,2.5529132988228866,6.517366311306754,2.5529132988228866
mos,48,cloud_cover,0.0,0.0,0.0
