contendiente,horizonte_h,variable,mae,rmse,bias,n
patchtst,6,shortwave_radiation,91.31635096226938,119.69273315641256,25.305454725033194,160
patchtst,6,surface_pressure,0.5788520133788125,0.7561260189178075,-0.09521536306271798,320
patchtst,6,temperature_2m,0.9637087450689062,1.2236776983522635,0.027791167385768634,320
patchtst,6,wind_speed_100m,2.6332313449796994,3.399286830599242,0.11349129732745292,320
patchtst,6,wind_speed_10m,1.651707420902238,2.1036107587172133,0.06293244336869809,320
patchtst,12,cloud_cover,20.393855978206965,26.92568822976784,-10.294521759935893,320
patchtst,12,diffuse_radiation,48.027176211016815,61.6046410044836,-9.257044616626414,160
patchtst,12,direct_normal_irradiance,200.06755254452366,238.34290482223824,91.78715606882423,160
patchtst,12,precipitation,0.13899509189563622,0.4067500452225615,0.04534281915513029,320
patchtst,12,relative_humidity_2m,8.549917083938222,11.588135356199995,-1.9700730394237254,320
patchtst,12,shortwave_radiation,97.83269603480318,124.95692159406207,16.730381724763976,160
patchtst,12,surface_pressure,0.6139627252078526,0.8080458231190148,-0.0591884251715399,320
patchtst,12,temperature_2m,1.0004703916136526,1.265974859350806,0.051144270936714344,320
patchtst,12,wind_speed_100m,2.714169960852129,3.531940372656803,0.44261131594086767,320
patchtst,12,wind_speed_10m,1.6852185995496682,2.178049511989453,0.19688369845154513,320
patchtst,24,cloud_cover,21.361868631191097,28.044378546954878,-10.89229824501373,320
patchtst,24,diffuse_radiation,41.777460257034555,58.308271308434655,1.0832074685361142,160
patchtst,24,direct_normal_irradiance,195.43041627922543,235.20032074143361,90.98402470073168,160
patchtst,24,precipitation,0.12671079376432198,0.37343282218389284,0.0439783902303112,320
patchtst,24,relative_humidity_2m,9.303186606090929,12.290202263932866,-2.5367881053650914,320
patchtst,24,shortwave_radiation,93.11145056589382,119.8758512487799,30.772296910613687,160
patchtst,24,surface_pressure,0.6381790292642325,0.8382102083516446,-0.02261492789195465,320
patchtst,24,temperature_2m,1.012587101645152,1.2778960220916284,0.08586201675811155,320
patchtst,24,wind_speed_100m,2.910056827018818,3.7730987271579073,0.7576891238454091,320
patchtst,24,wind_speed_10m,1.7459810456737164,2.2588681325277116,0.409952292948127,320
patchtst,48,cloud_cover,21.889071922967496,28.464441976578158,-10.841973524750761,320
patchtst,48,diffuse_radiation,48.71178105350549,69.43594143619903,28.66488371372243,160
patchtst,48,direct_normal_irradiance,207.23234910626397,245.03846479972842,88.8215671275805,160
patchtst,48,precipitation,0.13188656070899096,0.390535477488637,0.04364673019030502,320
patchtst,48,relative_humidity_2m,10.292086270744104,13.394828068644918,-3.1702025182492095,320
patchtst,48,shortwave_radiation,127.19820335042414,156.50906932334337,78.02984895089494,160
patchtst,48,surface_pressure,0.753598393444759,0.9626589396527073,-0.040684369632777974,320
patchtst,48,temperature_2m,1.1240066414711842,1.424472902577321,0.13133811108922278,320
patchtst,48,wind_speed_100m,3.1194625650785013,4.043292775155323,0.9121368597513738,320
patchtst,48,wind_speed_10m,1.827592539876068,2.3680386899560824,0.46180624926478275,320
patchtst,72,cloud_cover,22.112993168161445,28.76538184400829,-11.93550017634827,320
patchtst,72,diffuse_radiation,45.900435661770466,61.9527457110791,3.6601900208101243,160
patchtst,72,direct_normal_irradiance,208.51956864726603,246.58206449213182,99.85648287310707,160
patchtst,72,precipitation,0.10751646503954586,0.34521714046629864,0.03349395120567271,320
patchtst,72,relative_humidity_2m,10.408981087174316,13.444330732503742,-4.246341867502188,320
patchtst,72,shortwave_radiation,92.86594109967544,120.63095411280608,32.725190426933764,160
patchtst,72,surface_pressure,0.7724634016100882,0.9668479443759077,-0.08102516563688447,320
patchtst,72,temperature_2m,1.1076305470939647,1.4027246773848967,0.18361622464833235,320
patchtst,72,wind_speed_100m,3.235350107268566,4.157354741951718,1.0687296995313524,320
patchtst,72,wind_speed_10m,1.8392891075123348,2.403393114043475,0.5409033158414298,320
