baseline,horizon_h,variable,mae
persistence,1,temperature_2m,2.9000000000000004
persistence,1,relative_humidity_2m,13.0
persistence,1,cloud_cover,2.0
persistence,1,wind_speed_100m,1.8999999999999995
persistence,1,wind_speed_10m,1.4000000000000004
persistence,1,surface_pressure,1.5
persistence,1,precipitation,0.8
persistence,6,shortwave_radiation,124.0
persistence,6,direct_normal_irradiance,283.29999999999995
persistence,6,diffuse_radiation,5.0
persistence,6,temperature_2m,1.6999999999999993
persistence,6,relative_humidity_2m,2.0
persistence,6,cloud_cover,0.0
persistence,6,wind_speed_100m,2.9999999999999996
persistence,6,wind_speed_10m,1.6999999999999997
persistence,6,surface_pressure,1.0
persistence,6,precipitation,0.10000000000000009
persistence,12,temperature_2m,0.5999999999999996
persistence,12,relative_humidity_2m,3.0
persistence,12,cloud_cover,1.0
persistence,12,wind_speed_100m,0.20000000000000018
persistence,12,wind_speed_10m,0.0
persistence,12,surface_pressure,0.6000000000000227
persistence,12,precipitation,0.1
persistence,24,shortwave_radiation,372.0
persistence,24,direct_normal_irradiance,420.79999999999995
persistence,24,diffuse_radiation,14.0
persistence,24,temperature_2m,4.0
persistence,24,relative_humidity_2m,27.0
persistence,24,cloud_cover,0.0
persistence,24,wind_speed_100m,0.3000000000000007
persistence,24,wind_speed_10m,1.2999999999999998
persistence,24,surface_pressure,1.6000000000000227
persistence,24,precipitation,5.199999999999999
climatology,1,shortwave_radiation,147.8571428571429
climatology,1,direct_normal_irradiance,172.48571428571432
climatology,1,diffuse_radiation,11.071428571428555
climatology,1,temperature_2m,1.4785714285714295
climatology,1,relative_humidity_2m,12.214285714285708
climatology,1,cloud_cover,4.142857142857139
climatology,1,wind_speed_100m,1.6928571428571413
climatology,1,wind_speed_10m,0.9071428571428575
climatology,1,surface_pressure,1.814285714285802
climatology,1,precipitation,1.0214285714285714
climatology,6,shortwave_radiation,24.85714285714286
climatology,6,direct_normal_irradiance,62.17142857142858
climatology,6,diffuse_radiation,2.5714285714285836
climatology,6,temperature_2m,1.1428571428571441
climatology,6,relative_humidity_2m,6.071428571428569
climatology,6,cloud_cover,0.0
climatology,6,wind_speed_100m,0.6142857142857139
climatology,6,wind_speed_10m,0.4500000000000002
climatology,6,surface_pressure,1.2928571428570876
climatology,6,precipitation,1.5071428571428571
climatology,12,temperature_2m,0.09285714285714342
climatology,12,relative_humidity_2m,4.714285714285708
climatology,12,cloud_cover,4.714285714285708
climatology,12,wind_speed_100m,0.22142857142857153
climatology,12,wind_speed_10m,0.2714285714285716
climatology,12,surface_pressure,1.0785714285715358
climatology,12,precipitation,0.07142857142857142
climatology,24,shortwave_radiation,254.07142857142856
climatology,24,direct_normal_irradiance,297.5142857142857
climatology,24,diffuse_radiation,1.9285714285714164
climatology,24,temperature_2m,1.8357142857142854
climatology,24,relative_humidity_2m,11.857142857142861
climatology,24,cloud_cover,4.071428571428569
climatology,24,wind_speed_100m,2.307142857142857
climatology,24,wind_speed_10m,2.3928571428571432
climatology,24,surface_pressure,0.3000000000000682
climatology,24,precipitation,1.214285714285714
arima,1,shortwave_radiation,25.773754073553164
arima,1,direct_normal_irradiance,53.07838193382861
arima,1,diffuse_radiation,47.05492061075984
arima,1,temperature_2m,1.018177806269854
arima,1,relative_humidity_2m,3.100732887136701
arima,1,cloud_cover,2.2450171996979407e-06
arima,1,wind_speed_100m,1.1821205048484966
arima,1,wind_speed_10m,0.719509950905735
arima,1,surface_pressure,0.3080033772242814
arima,1,precipitation,1.157661721097726
arima,6,shortwave_radiation,0.03301178728676746
arima,6,direct_normal_irradiance,68.688681058024
arima,6,diffuse_radiation,49.672193508730516
arima,6,temperature_2m,0.6096645489003727
arima,6,relative_humidity_2m,0.5963657703273526
arima,6,cloud_cover,1.3996744883115753e-06
arima,6,wind_speed_100m,0.6045954361887267
arima,6,wind_speed_10m,1.995751286741413
arima,6,surface_pressure,1.0529115448103994
arima,6,precipitation,1.9258022271511992
arima,12,temperature_2m,1.317783626996384
arima,12,relative_humidity_2m,4.7418111104250045
arima,12,cloud_cover,1.3414380646281643e-06
arima,12,wind_speed_100m,4.193431201241642
arima,12,wind_speed_10m,4.654203532004459
arima,12,surface_pressure,1.1881033161107553
arima,12,precipitation,0.6293707032492472
arima,24,shortwave_radiation,374.77015478120524
arima,24,direct_normal_irradiance,535.4107891994969
arima,24,diffuse_radiation,20.924971823930747
arima,24,temperature_2m,4.582033277884351
arima,24,relative_humidity_2m,24.846714843399994
arima,24,cloud_cover,1.3432524070822183e-06
arima,24,wind_speed_100m,1.8062706394378472
arima,24,wind_speed_10m,1.7478305087301322
arima,24,surface_pressure,2.843165059730836
arima,24,precipitation,0.3096921568783717
persistence,1,shortwave_radiation,16.0
persistence,1,direct_normal_irradiance,9.1
persistence,1,diffuse_radiation,14.0
persistence,1,temperature_2m,0.1999999999999993
persistence,1,relative_humidity_2m,1.0
persistence,1,cloud_cover,0.0
persistence,1,wind_speed_100m,1.8
persistence,1,wind_speed_10m,0.7
persistence,1,surface_pressure,0.39999999999997726
persistence,1,precipitation,0.09999999999999998
persistence,6,temperature_2m,0.5
persistence,6,relative_humidity_2m,1.0
persistence,6,cloud_cover,0.0
persistence,6,wind_speed_100m,1.0
persistence,6,wind_speed_10m,0.5999999999999999
persistence,6,surface_pressure,0.1999999999999318
persistence,6,precipitation,0.1
persistence,12,temperature_2m,1.1999999999999993
persistence,12,relative_humidity_2m,4.0
persistence,12,cloud_cover,0.0
persistence,12,wind_speed_100m,0.20000000000000018
persistence,12,wind_speed_10m,0.0
persistence,12,surface_pressure,1.1000000000000227
persistence,12,precipitation,0.0
persistence,24,shortwave_radiation,25.0
persistence,24,direct_normal_irradiance,67.6
persistence,24,diffuse_radiation,56.0
persistence,24,temperature_2m,0.5
persistence,24,relative_humidity_2m,3.0
persistence,24,cloud_cover,0.0
persistence,24,wind_speed_100m,1.0
persistence,24,wind_speed_10m,0.20000000000000018
persistence,24,surface_pressure,0.39999999999997726
persistence,24,precipitation,3.0
climatology,1,shortwave_radiation,15.642857142857139
climatology,1,direct_normal_irradiance,41.385714285714286
climatology,1,diffuse_radiation,6.714285714285715
climatology,1,temperature_2m,0.11428571428571388
climatology,1,relative_humidity_2m,0.7857142857142918
climatology,1,cloud_cover,0.0
climatology,1,wind_speed_100m,2.8285714285714274
climatology,1,wind_speed_10m,1.5857142857142856
climatology,1,surface_pressure,1.3214285714284415
climatology,1,precipitation,0.5142857142857142
climatology,6,temperature_2m,0.3357142857142854
climatology,6,relative_humidity_2m,3.142857142857139
climatology,6,cloud_cover,4.714285714285708
climatology,6,wind_speed_100m,0.7142857142857144
climatology,6,wind_speed_10m,0.31428571428571406
climatology,6,surface_pressure,1.192857142857065
climatology,6,precipitation,0.03571428571428571
climatology,12,temperature_2m,0.6428571428571441
climatology,12,relative_humidity_2m,4.571428571428569
