hour,timestamp,pv_real_kw,load_real_kw,diesel_kw,grid_kw,charge_kw,discharge_kw,curtailed_kw,ens_kw,tariff,soc_kwh,violation,cost_diesel,cost_grid,cost_battery
20,2026-08-05 20:00:00-05:00,0.04663775463097299,5.618563256235194,0.0,-7.449839577944317e-05,0.0,5.572,0.0,0.0,140.0,90.22421052631577,0,0.0,40.0,167.16
21,2026-08-05 21:00:00-05:00,0.1320624302667438,3.488501965316195,0.0,0.00043953504945104527,0.0,3.356,0.0,0.0,140.0,84.35894736842104,0,0.0,40.06153490692314,100.67999999999999
22,2026-08-05 22:00:00-05:00,0.25280112390508297,2.9269310802413693,0.0,0.00012995633628642977,0.0,2.674,0.0,0.0,80.0,80.82631578947367,0,0.0,40.010396506902914,80.22
23,2026-08-05 23:00:00-05:00,0.21218930365263286,2.8782288036603814,0.0,3.950000774866069e-05,0.0,2.666,0.0,0.0,80.0,78.0115789473684,0,0.0,40.00316000061989,79.98
0,2026-08-06 00:00:00-05:00,0.23986752407319875,2.876712328851813,0.0,-0.000155195221386073,0.0,2.637,0.0,0.0,45.0,130.0,0,0.0,40.0,79.11
1,2026-08-06 01:00:00-05:00,0.19126550204361722,2.8767123850971856,0.0,0.00044688305356821445,0.0,2.685,0.0,0.0,45.0,127.22421052631579,0,0.0,40.02010973741057,80.55
2,2026-08-06 02:00:00-05:00,0.17478303940989617,2.876726112278856,0.0,-5.6927131040218626e-05,0.0,2.702,0.0,0.0,45.0,124.3978947368421,0,0.0,40.0,81.06
3,2026-08-06 03:00:00-05:00,0.28851014848102285,2.877953080952517,0.0,0.00044293247149385095,0.0,2.589,0.0,0.0,45.0,121.55368421052631,0,0.0,40.019931961217225,77.67
4,2026-08-06 04:00:00-05:00,0.0776048429674756,2.917800398155143,0.0,0.00019555518766756208,0.0,2.84,0.0,0.0,45.0,118.82842105263158,0,0.0,40.00879998344504,85.19999999999999
5,2026-08-06 05:00:00-05:00,0.12340297196361621,3.3772674859436367,0.0,-0.00013548601997959153,0.0,3.254,0.0,0.0,45.0,115.83894736842106,0,0.0,40.0,97.62
6,2026-08-06 06:00:00-05:00,0.4405944189158734,5.120044905786454,0.0,0.0004504868705801357,0.0,4.679,0.0,0.0,80.0,112.41368421052633,0,0.0,40.03603894964641,140.37
7,2026-08-06 07:00:00-05:00,2.2674563077049084,6.575342465753426,0.0,-0.00011384195148167464,0.0,4.308,0.0,0.0,80.0,107.4884210526316,0,0.0,40.0,129.24
