modo,estrategia,fecha,pv_kwh,costo_total,costo_norm,diesel_L,diesel_h,ens_kwh,ens_h,deficit_kwh,deficit_max_kw,soc_start_kwh,soc_min_kwh,soc_final_kwh,import_kwh,export_kwh,curtailed_kwh,viol
grid30,heur,2026-08-05,114.5457078177002,57932.78235463146,57932.78235463146,442.2749100031783,14,0.0,0,0.0,0.0,41.30393907309672,41.30393907309672,41.30393907309672,178.73655998183008,24.401254889035897,0.0,0
grid30,heur,2026-08-06,134.58682847205665,57643.982935500266,57643.982935500266,439.4133400549755,14,0.0,0,0.0,0.0,41.30393907309672,41.30393907309672,41.30393907309672,178.89916000220268,39.90247853064415,0.0,0
grid30,mpc-pi,2026-07-24,198.01842405805309,57240.79184957619,53823.37584957619,454.050890079,15,0.0,0,6.217248937900877e-15,3.552713678800501e-15,130.0,130.0,172.71770000000004,152.79115561159037,60.21842372695152,0.0,0
grid30,mpc-pi,2026-07-25,207.10425167565415,55312.31123481903,55239.27523481903,452.542887516,15,0.0,0,7.105427357601002e-15,7.105427357601002e-15,172.71770000000004,172.71770000000004,173.63065000000003,152.43146716366454,110.45856289662676,0.0,0
grid30,mpc-pi,2026-07-26,179.77616604562493,55774.73037188924,55774.73037188924,457.678935738,15,0.0,0,0.0,0.0,173.63065000000003,173.63065000000003,173.63065000000003,152.3341068712797,92.48011697421268,0.0,0
grid30,mpc-pi,2026-07-27,178.7858418577156,55473.36299111142,55473.36299111142,454.4084062,15,0.0,0,0.0,0.0,173.63065000000003,173.63065000000003,173.63065000000003,152.75126958249416,86.51495549751783,0.0,0
grid30,mpc-pi,2026-07-28,204.27943056075685,55394.70970554396,55489.12802133343,453.3971840340001,15,0.0,0,0.0,0.0,173.63065000000003,157.5990710526316,172.4504210526316,137.5436816493148,94.73595626737968,0.0,0
grid30,mpc-pi,2026-07-29,180.47724219655015,55554.306977454326,55468.12297745432,454.742953878,15,0.0,0,0.0,0.0,172.4504210526316,172.4504210526316,173.52772105263162,152.66815771403407,87.54724396789234,0.0,0
grid30,mpc-pi,2026-07-30,194.2763031773748,55618.84415506402,55620.69678664297,455.801193919,15,0.0,0,0.0,0.0,173.52772105263162,173.50456315789478,173.50456315789478,152.79348774093,104.34863497561288,0.0,0
grid30,mpc-pi,2026-07-31,192.6368020766043,55524.55382667709,55524.55382667709,455.0842203860001,15,0.0,0,0.0,0.0,173.50456315789478,173.50456315789478,173.50456315789478,152.54925425610483,101.28790039001716,0.0,0
grid30,mpc-pi,2026-08-01,203.5248635202317,55290.35408392004,55317.890926025306,453.112835137,15,0.0,0,0.0,0.0,173.50456315789478,173.160352631579,173.160352631579,151.60800168407332,108.30470926161308,0.0,0
grid30,mpc-pi,2026-08-02,210.5356350872605,55306.58619968965,55275.80619968965,452.513751165,15,0.0,0,0.0,0.0,173.160352631579,173.160352631579,173.545102631579,152.77123896538916,114.73671810995772,0.0,0
grid30,mpc-pi,2026-08-03,162.88303947567306,56120.92570359234,56139.95728253971,461.1150823290001,15,0.0,0,0.0,0.0,173.545102631579,173.3072078947369,173.3072078947369,152.19060352694578,81.28848705992691,0.0,0
grid30,mpc-pi,2026-08-04,205.22886252549716,55472.85316270341,55472.85316270341,454.548101614,15,0.0,0,0.0,0.0,173.3072078947369,173.3072078947369,173.3072078947369,152.48279588634,112.8775024691452,0.0,0
grid30,mpc-pi,2026-08-05,114.5457078177002,57048.674824216745,57032.18282421675,470.2748275369999,15,0.0,0,7.105427357601002e-15,7.105427357601002e-15,173.3072078947369,173.3072078947369,173.5133578947369,152.3603354761319,47.80788735114013,0.0,0
grid30,mpc-pi,2026-08-06,134.58682847205665,56769.927096901054,56772.20078111158,467.413543541,15,0.0,0,7.105427357601002e-15,7.105427357601002e-15,173.5133578947369,173.48493684210533,173.48493684210533,152.63690476348438,63.66757729284914,0.0,0
grid10,smpc,2026-07-24,198.01842405805309,65290.55756135649,65946.18450872491,566.438404509,16,0.0,0,5.3290705182007506e-15,1.7763568394002505e-15,130.0,97.46526315789475,121.80466315789474,78.56577738176259,110.76882192796876,110.72622356915495,0
grid10,smpc,2026-07-25,207.10425167565415,65636.09860758456,65636.07355495298,566.438404509,16,0.0,0,1.7763568394002505e-15,1.7763568394002505e-15,121.80466315789474,89.26992631578946,121.80497631578947,78.43016308198345,112.68446936110377,109.13378945384194,0
grid10,smpc,2026-07-26,179.77616604562493,65894.01324393204,65375.592191300464,566.438404509,16,0.0,0,0.0,0.0,121.80497631578947,89.2702394736842,128.2852394736842,78.30555680806468,104.70357260991136,82.84099430108634,0
grid10,smpc,2026-07-27,178.7858418577156,65960.46244413679,65960.51339150521,569.630558002,16,0.0,0,1.7763568394002505e-15,1.7763568394002505e-15,128.2852394736842,95.75050263157893,128.28460263157888,78.65307299281116,114.53281574037229,84.27194316746257,0
grid10,smpc,2026-07-28,204.27943056075685,65356.49697991142,65874.86792727985,566.438404509,16,0.0,0,1.7763568394002505e-15,1.7763568394002505e-15,128.28460263157888,95.7498657894736,121.8049657894736,78.44698675731146,117.22139586754768,108.6098655078287,0
grid10,smpc,2026-07-29,180.47724219655015,65629.57350422366,65629.54845159208,566.438404509,16,0.0,0,0.0,0.0,121.8049657894736,89.27022894736834,121.80527894736836,78.39692600990071,115.86019976036415,79.29781250339477,0
grid10,smpc,2026-07-30,194.2763031773748,59646.64340066913,58115.52234803755,498.5631688959999,16,0.0,0,3.552713678800501e-15,1.7763568394002505e-15,121.80527894736836,89.27054210526308,140.94429210526306,78.46675958974384,77.0014391952357,2.082467629190994,0
grid10,smpc,2026-07-31,192.6368020766043,57310.08522129845,59277.46922129844,471.324260013,15,0.0,0,3.552713678800501e-15,1.7763568394002505e-15,140.94429210526306,108.40955526315784,116.35199210526316,78.4100971551219,71.46331546570443,0.3444278233298377,0
grid10,smpc,2026-08-01,203.5248635202317,59439.75007092169,57790.82901829011,496.2831813629999,16,0.0,0,1.7763568394002505e-15,1.7763568394002505e-15,116.35199210526316,83.81725526315788,136.96350526315786,77.66826873909397,78.55182115601511,3.689155160618647,0
grid10,smpc,2026-08-02,210.5356350872605,57192.456097010414,58852.72409701041,468.335877165,15,0.0,0,1.7763568394002505e-15,1.7763568394002505e-15,136.96350526315786,104.42876842105264,116.21015526315792,78.59070518189873,80.36095681565465,0.5952275108126699,0
grid10,smpc,2026-08-03,162.88303947567306,58812.249903955424,58880.24485132384,497.768259011,16,0.0,0,0.0,0.0,116.21015526315792,83.67541842105265,115.36021842105268,79.41656055642613,62.41002374053351,6.000420348873753,0
grid10,smpc,2026-08-04,205.22886252549716,59595.22115132995,58133.03209869837,498.465413525,16,0.0,0,3.552713678800501e-15,1.7763568394002505e-15,115.36021842105268,82.8254815789474,133.6375815789474,78.33650585542172,83.2275314138826,7.444681024344298,0
grid10,smpc,2026-08-05,114.5457078177002,60407.672723756616,59688.45967112504,509.125864717,16,0.0,0,1.7763568394002505e-15,1.7763568394002505e-15,133.6375815789474,101.10284473684216,142.62774473684215,80.00126274538025,28.95581462038852,0.0,0
